0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0
-844591,-583291,-3211507,-453136,-6704001,293535,-4335067,-5106677
-862796,-567174,-3237088,-459581,-6716719,290417,-4332062,-5103554
-849036,-581219,-3223371,-455396,-6709890,291928,-4333277,-5104710
-828798,-598377,-3195588,-448537,-6696197,295249,-4336624,-5108073
-839454,-586620,-3205569,-451933,-6701277,293937,-4335704,-5107049
-860343,-566644,-3233856,-459232,-6715302,290462,-4332478,-5103712
-851878,-576505,-3227706,-457029,-6712282,291136,-4332895,-5104019
-829182,-596407,-3197874,-449582,-6697645,294944,-4336661,-5107819
-834076,-590145,-3200447,-451087,-6699085,294533,-4336578,-5107656
-856334,-567792,-3229520,-458702,-6713461,290849,-4333212,-5104214
-853800,-572577,-3231279,-458578,-6714415,290611,-4332743,-5103621
-830123,-593686,-3201235,-450797,-6699614,294381,-4336391,-5107301
-829137,-593212,-3196226,-450312,-6697309,294911,-4337210,-5108032
-851676,-570257,-3224476,-457991,-6711350,291461,-4334157,-5104893
-855132,-569155,-3233736,-459752,-6715933,290169,-4332711,-5103289
-832123,-590182,-3205551,-452154,-6701942,293592,-4335925,-5106528
-825315,-595366,-3193217,-449676,-6695980,295044,-4337575,-5108132
-846648,-573605,-3218915,-456899,-6708801,291994,-4334923,-5105422
-855994,-566648,-3235140,-460641,-6716873,290028,-4332898,-5103268
-835212,-586419,-3210861,-453877,-6704804,292956,-4335564,-5105917
-822760,-596595,-3191744,-449367,-6695360,295052,-4337797,-5108116
-841311,-577402,-3213101,-455545,-6706022,292461,-4335617,-5105852
-855711,-564759,-3234984,-460922,-6716911,289898,-4333114,-5103248
-838587,-582251,-3216385,-455578,-6707749,292224,-4335118,-5105209
-821541,-596935,-3191981,-449606,-6695729,295107,-4338041,-5108128
-836004,-581562,-3207513,-454286,-6703492,293088,-4336410,-5106411
-854397,-564181,-3233582,-460912,-6716461,290064,-4333571,-5103483
-841849,-577959,-3221664,-457169,-6710595,291476,-4334678,-5104492
-821443,-596192,-3193644,-450190,-6696829,294963,-4338137,-5107966
-831019,-585766,-3202416,-453224,-6701304,293793,-4337326,-5107057
-852094,-564868,-3230879,-460617,-6715426,290416,-4334223,-5103892
-844966,-573871,-3226379,-458736,-6713207,290854,-4334371,-5103934
-822393,-594334,-3196477,-451054,-6698457,294525,-4337925,-5107511
-826341,-589421,-3197733,-452130,-6699207,294213,-4337914,-5107396
-848706,-566532,-3226714,-459762,-6713522,290640,-4334688,-5104121
-847410,-569914,-3229810,-459811,-6715001,290065,-4333896,-5103195
-824327,-591532,-3200239,-452079,-6700414,293781,-4337434,-5106755
-822657,-592625,-3194108,-451390,-6697621,294648,-4338543,-5107788
-845099,-569767,-3222054,-459036,-6711509,291328,-4335603,-5104799
-849765,-567136,-3232512,-461100,-6716671,289930,-4334075,-5103155
-827477,-588353,-3205092,-453619,-6703070,293190,-4337076,-5106163
-819806,-594759,-3191420,-450722,-6696426,294718,-4338768,-5107798
-840772,-573482,-3216454,-457814,-6708954,291778,-4336218,-5105178
-851040,-564737,-3233465,-461717,-6717376,289668,-4334109,-5102962
-831352,-584664,-3210439,-455324,-6706021,292496,-4336622,-5105457
-818342,-596111,-3190307,-450607,-6696155,294816,-4339024,-5107835
-836239,-577729,-3210651,-456506,-6706317,292276,-4336868,-5105587
-851437,-563577,-3233136,-462039,-6717466,289637,-4334331,-5102981
-835373,-580568,-3215747,-456911,-6708858,291672,-4336024,-5104612
-817962,-596304,-3190602,-450788,-6696514,294712,-4339072,-5107652
-831802,-582144,-3205066,-455286,-6703815,292908,-4337630,-5106112
-850712,-563344,-3231339,-461880,-6716767,289716,-4334638,-5103077
-839287,-576181,-3220712,-458329,-6711450,290763,-4335353,-5103707
-818605,-595131,-3192205,-451138,-6697403,294222,-4338729,-5107102
-827367,-585959,-3199652,-453827,-6701202,293179,-4338017,-5106269
-848935,-564174,-3228196,-461281,-6715322,289824,-4334955,-5103155
-843072,-571915,-3225042,-459680,-6713697,290014,-4334862,-5102951
-820578,-592949,-3195152,-451949,-6698926,293654,-4338343,-5106459
-823602,-589298,-3194974,-452621,-6698932,293452,-4338411,-5106429
-846260,-566161,-3223887,-460321,-6713249,289998,-4335298,-5103274
-846359,-568132,-3228394,-460817,-6715475,289419,-4334526,-5102401
-823590,-590109,-3199258,-453151,-6701128,293067,-4337935,-5105826
-820767,-592321,-3191549,-451897,-6697486,293918,-4338995,-5106793
-843209,-569617,-3219122,-459489,-6711216,290708,-4336151,-5103884
-849004,-565095,-3230572,-461751,-6716802,289163,-4334507,-5102157
-827262,-586522,-3204025,-454434,-6703658,292251,-4337291,-5104921
-818615,-594149,-3189051,-451155,-6696364,293926,-4339094,-5106671
-839281,-573425,-3213367,-458061,-6708515,291054,-4336614,-5104099
-850594,-562874,-3231169,-462187,-6717272,288876,-4334472,-5101901
-831465,-582439,-3209065,-455842,-6706271,291324,-4336582,-5103961
-817810,-595209,-3188042,-451041,-6696053,293989,-4339308,-5106655
-835211,-577802,-3207425,-456784,-6705780,291627,-4337312,-5104551
-851042,-561950,-3230285,-462317,-6716994,288774,-4334586,-5101783
-835823,-578316,-3214106,-457441,-6708947,290551,-4336016,-5103144
-817758,-595062,-3188200,-451141,-6696244,293709,-4339152,-5106271
-830886,-582212,-3201537,-455487,-6703071,292173,-4337974,-5104960
-850481,-562437,-3228204,-462311,-6716260,289054,-4335086,-5102052
-840256,-574415,-3219027,-459261,-6711731,290082,-4335806,-5102684
-819140,-594166,-3190137,-451983,-6697532,293586,-4339209,-5106084
-826839,-586328,-3196153,-454333,-6700664,292704,-4338632,-5105388
-848682,-563871,-3224651,-461815,-6714764,289352,-4335575,-5102312
-843920,-570280,-3222790,-460596,-6713813,289429,-4335406,-5102052
-821224,-591934,-3192970,-452851,-6699111,293001,-4338791,-5105436
-823185,-589717,-3191399,-453241,-6698497,293055,-4339103,-5105633
-845917,-566462,-3220064,-460969,-6712726,289654,-4336056,-5102539
-847049,-566672,-3225619,-461769,-6715454,288955,-4335216,-5101625
-824306,-588876,-3196902,-454080,-6701234,292319,-4338317,-5104725
-820400,-592357,-3187811,-452513,-6696920,293356,-4339541,-5105869
-842588,-569982,-3214831,-460038,-6710395,290184,-4336732,-5102986
-849445,-563731,-3227269,-462694,-6716469,288661,-4335174,-5101384
-828359,-585331,-3201778,-455766,-6703904,291751,-4337936,-5104116
-818775,-594178,-3185663,-452273,-6696096,293653,-4339967,-5106072
-838849,-574042,-3209106,-458959,-6707793,290766,-4337469,-5103464
-850901,-561724,-3227517,-463201,-6716754,288407,-4335174,-5101153
-832691,-581068,-3206733,-457321,-6706501,290871,-4337289,-5103210
-818006,-594641,-3184592,-452058,-6695644,293431,-4339878,-5105776
-834671,-578111,-3202904,-457507,-6704834,291108,-4337903,-5103691
-851420,-561034,-3226424,-463381,-6716448,288397,-4335356,-5101137
-837211,-576692,-3211587,-458890,-6709104,290070,-4336691,-5102391
-818352,-594071,-3184890,-452156,-6695902,293029,-4339609,-5105294
-830384,-582059,-3196727,-455912,-6701870,291313,-4338226,-5103771
-850633,-561425,-3223750,-462949,-6715282,288284,-4335442,-5100976
-841553,-572327,-3215914,-460295,-6711436,289247,-4336107,-5101563
-820221,-592926,-3186906,-452972,-6697196,292803,-4339515,-5104971
-826997,-586454,-3191543,-454976,-6699681,292088,-4339075,-5104398
-849109,-563742,-3219947,-462391,-6713690,288628,-4335906,-5101196
-845352,-568674,-3218977,-461311,-6713077,288493,-4335556,-5100771
-822622,-590982,-3189159,-453474,-6698338,291964,-4338802,-5104000
-823842,-590471,-3186168,-453622,-6697110,292342,-4339407,-5104487
-846918,-567672,-3214361,-461273,-6711107,288957,-4336322,-5101357
-849376,-566487,-3220606,-462284,-6714142,288169,-4335389,-5100401
-827122,-589278,-3192154,-454638,-6700049,291418,-4338322,-5103312
-822589,-594356,-3181351,-452652,-6694869,292599,-4339643,-5104558
-845204,-572873,-3207327,-459976,-6707818,289412,-4336764,-5101599
-853766,-565423,-3220177,-462877,-6714096,287855,-4335146,-5099997
-833606,-587151,-3194988,-456017,-6701631,290738,-4337655,-5102482
-823512,-597352,-3177026,-451991,-6692818,292609,-4339594,-5104371
-844092,-578497,-3199008,-458388,-6703814,289789,-4337056,-5101737
-858272,-565487,-3217735,-462978,-6713034,287618,-4334916,-5099624
-841368,-584701,-3197400,-457237,-6702987,289963,-4336877,-5101528
-826423,-599792,-3173774,-451581,-6691392,292650,-4339534,-5104144
-843572,-584966,-3190294,-456539,-6699704,290443,-4337569,-5102057
-862471,-567532,-3213635,-462364,-6711214,287731,-4334916,-5099446
-849887,-582756,-3199362,-457941,-6704134,289283,-4336073,-5100589
-830946,-601502,-3171726,-450846,-6690466,292311,-4338957,-5103511
-843615,-591377,-3181939,-454089,-6695689,290823,-4337658,-5102089
-866062,-570627,-3208809,-460850,-6708989,287664,-4334620,-5099046
-858528,-580452,-3202049,-458313,-6705679,288511,-4335155,-5099500
-836584,-601760,-3173122,-450797,-6691448,291967,-4338442,-5102746
-843050,-596713,-3176704,-452396,-6693404,291395,-4338066,-5102246
-866652,-574115,-3205571,-459816,-6707651,287875,-4334709,-5098892
-864096,-577610,-3206647,-459358,-6708131,287814,-4334411,-5098614
-840504,-600357,-3178301,-451922,-6694124,291178,-4337541,-5101748
-840844,-600896,-3174820,-451912,-6692511,291373,-4337903,-5102028
-865518,-578944,-3203617,-460035,-6706728,287909,-4334625,-5098744
